Edicion,Fecha,Titulo,Sede,Presentadora,Artista Invitado,Ganador (Laurel de Oro),Segundo (Pluma de Plata),Tercero (Lira de Bronce),Participantes,Votos Totales,Cartel URL
"Exhibición Poetry Slam Alicante","2026-03-20","Exhibición Poetry Slam Alicante","Centro Cultural Las Cigarreras","Ágora Reix","Sin especificar","Alex Carmona","Marina Maciá","Nando Arroyo",6,210,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1776100417972.jpeg"
"VII Poetry Slam Alicante","2026-04-29","VII Poetry Slam Alicante","Centro Cultural Las Cigarreras","Ágora Reix","Francisca Ossa","Marina Maciá","Lydia Rico","Eliana Ollarve",7,232,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1777236711643.jpeg"
"VII Poetry Slam Alicante","2026-04-30","VII Poetry Slam Alicante","Centro Cultural Las Cigarreras","Ágora Reix","Sin especificar","N/A","N/A","N/A",0,0,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1777578437505.jpeg"
"VII Poetry Slam Alicante 2","2026-04-30","VII Poetry Slam Alicante 2","Centro Cultural Las Cigarreras","Ágora Reix","Francisca Ossa","Marina Maciá","Lydia Rico","Eliana Ollarve",3,107,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1777236711643.jpeg"
"Poetry Slam Alicante - VII Edición","2026-05-07","Poetry Slam Alicante - VII Edición","Centro Cultural Las Cigarreras","Ágora Reix","José Luis Rico","Juan Góngora","Pedro Nso","Jordi Más",6,180,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1777578437505.jpeg"
"III Encuentro VII Torneo Poetry Slam Alicante","2026-05-14","III Encuentro VII Torneo Poetry Slam Alicante","Centro Cultural Las Cigarreras","Ágora Reix","Dúo Trascendental","N/A","N/A","N/A",7,0,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1778247986695.jpeg"
"Poetry Slam Alicante VII Edición","2026-05-21","Poetry Slam Alicante VII Edición","Centro Cultural Las Cigarreras","Ágora Reix","Troppo Lírica","Alfonso Paso","Guille Lacasito","Cristina Molina",7,160,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1779294681111.jpeg"
"Poetry Slam Alicante – VII Edición","2026-05-28","Poetry Slam Alicante – VII Edición","Centro Cultural Las Cigarreras","Ágora Reix","Vera Lu & Claudio H","Beatriz G. Alberdi","Nando Arroyo","Raquel Sánchez",8,294,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1779973992600.jpeg"
"VII FINAL PSA - 26 JUNIO","2026-06-26","VII FINAL PSA - 26 JUNIO","Centro Cultural Las Cigarreras","Ágora Reix","Sin especificar","ALFONSO PASO","GUILLE LACASITO","FRANCISCO COBOS",12,1203,"https://wyrzkczhtwvaylgavjaq.supabase.co/storage/v1/object/public/carteles/1782495887466.png"
